type;period;value;invlevel;mtlevel
y(Total Production);1;9;inv(low);mt(low)
y(Total Production);2;11;inv(low);mt(low)
y(Total Production);3;9.4;inv(low);mt(low)
y(Total Production);4;14.6;inv(low);mt(low)
y(Total Production);5;9;inv(low);mt(low)
y(Total Production);6;8;inv(low);mt(low)
y(Total Production);7;13;inv(low);mt(low)
y(Total Production);8;8.6;inv(low);mt(low)
y(Total Production);9;12.6;inv(low);mt(low)
y(Total Production);10;12.6;inv(low);mt(low)
y(Total Production);11;14.6;inv(low);mt(low)
y(Total Production);12;13.6;inv(low);mt(low)
y(Total Production);13;12;inv(low);mt(low)
y(Total Production);14;13;inv(low);mt(low)
y(Total Production);15;8;inv(low);mt(low)
y(Total Production);16;11;inv(low);mt(low)
y(Total Production);17;6;inv(low);mt(low)
y(Total Production);18;8;inv(low);mt(low)
y(Total Production);19;8;inv(low);mt(low)
y(Total Production);20;8;inv(low);mt(low)
u(WIP);1;0;inv(low);mt(low)
u(WIP);2;0;inv(low);mt(low)
u(WIP);3;-2;inv(low);mt(low)
u(WIP);4;0;inv(low);mt(low)
u(WIP);5;0;inv(low);mt(low)
u(WIP);6;-0.4;inv(low);mt(low)
u(WIP);7;0;inv(low);mt(low)
u(WIP);8;-3;inv(low);mt(low)
u(WIP);9;-3;inv(low);mt(low)
u(WIP);10;-3;inv(low);mt(low)
u(WIP);11;-1;inv(low);mt(low)
u(WIP);12;0;inv(low);mt(low)
u(WIP);13;-0.4;inv(low);mt(low)
u(WIP);14;0;inv(low);mt(low)
u(WIP);15;0;inv(low);mt(low)
u(WIP);16;0;inv(low);mt(low)
u(WIP);17;0;inv(low);mt(low)
u(WIP);18;0;inv(low);mt(low)
u(WIP);19;0;inv(low);mt(low)
u(WIP);20;0;inv(low);mt(low)
i(End Item);1;0;inv(low);mt(low)
i(End Item);2;0;inv(low);mt(low)
i(End Item);3;-2.4;inv(low);mt(low)
i(End Item);4;0;inv(low);mt(low)
i(End Item);5;0;inv(low);mt(low)
i(End Item);6;0;inv(low);mt(low)
i(End Item);7;0;inv(low);mt(low)
i(End Item);8;-4.6;inv(low);mt(low)
i(End Item);9;-0.2;inv(low);mt(low)
i(End Item);10;-1.8;inv(low);mt(low)
i(End Item);11;-0.4;inv(low);mt(low)
i(End Item);12;0;inv(low);mt(low)
i(End Item);13;0;inv(low);mt(low)
