days;total_demand;total_production;total_wip;total_enditem;time;invlevel;mtlevel
1;9;9;0;0;70;inv(low);mt(low)
2;11;11;0;0;57.27272727;inv(low);mt(low)
3;7;9.4;2;2.4;55.26315789;inv(low);mt(low)
4;17;14.6;0;0;50;inv(low);mt(low)
5;9;9;0;0;70;inv(low);mt(low)
6;8;8;0.4;0;75;inv(low);mt(low)
7;13;13;0;0;50;inv(low);mt(low)
8;4;8.6;3;4.6;54.31034483;inv(low);mt(low)
9;17;12.6;3;0.2;50;inv(low);mt(low)
10;11;12.6;3;1.8;50;inv(low);mt(low)
11;16;14.6;1;0.4;50;inv(low);mt(low)
12;14;13.6;0;0;50;inv(low);mt(low)
13;12;12;0.4;0;50.80645161;inv(low);mt(low)
14;13;13;0;0;50;inv(low);mt(low)
15;8;8;0;0;78.75;inv(low);mt(low)
16;11;11;0;0;57.27272727;inv(low);mt(low)
17;6;6;0;0;80;inv(low);mt(low)
18;8;8;0;0;78.75;inv(low);mt(low)
19;8;8;0;0;78.75;inv(low);mt(low)
20;8;8;0;0;78.75;inv(low);mt(low)
1;9;9;0;0;70;inv(med);mt(low)
2;11;11;0;0;57.27272727;inv(med);mt(low)
3;7;9.4;2;2.4;55.26315789;inv(med);mt(low)
4;17;14.6;0;0;50;inv(med);mt(low)
5;9;9;0;0;70;inv(med);mt(low)
6;8;8;0.4;0;75;inv(med);mt(low)
7;13;13;0;0;50;inv(med);mt(low)
8;4;5.6;6;1.6;54.31034483;inv(med);mt(low)
9;17;15.4;3.2;0;50;inv(med);mt(low)
10;11;11;4.8;0;50;inv(med);mt(low)
11;16;16.4;1;0.4;50;inv(med);mt(low)
12;14;13.6;0;0;50;inv(med);mt(low)
13;12;12;0.4;0;50.80645161;inv(med);mt(low)
14;13;13;0;0;50;inv(med);mt(low)
15;8;8;0;0;78.75;inv(med);mt(low)
16;11;11;0;0;57.27272727;inv(med);mt(low)
17;6;6;0;0;80;inv(med);mt(low)
18;8;8;0;0;78.75;inv(med);mt(low)
19;8;8;0;0;78.75;inv(med);mt(low)
20;8;8;0;0;78.75;inv(med);mt(low)
1;9;9;0;0;70;inv(high);mt(low)
2;11;11;0;0;57.27272727;inv(high);mt(low)
3;7;9.4;2;2.4;55.26315789;inv(high);mt(low)
4;17;14.6;0;0;50;inv(high);mt(low)
5;9;9;0;0;70;inv(high);mt(low)
6;8;8;0.4;0;75;inv(high);mt(low)
7;13;13;0;0;50;inv(high);mt(low)
8;4;5.4;6.2;1.4;54.31034483;inv(high);mt(low)
9;17;15.6;3.2;0;50;inv(high);mt(low)
10;11;11;4.8;0;50;inv(high);mt(low)
11;16;16.4;1;0.4;50;inv(high);mt(low)
12;14;13.6;0;0;50;inv(high);mt(low)
13;12;12;0.4;0;50.80645161;inv(high);mt(low)
14;13;13;0;0;50;inv(high);mt(low)
15;8;8;0;0;78.75;inv(high);mt(low)
16;11;11;0;0;57.27272727;inv(high);mt(low)
17;6;6;0;0;80;inv(high);mt(low)
