type;period;value;invlevel;mtlevel
y(Total Production);7;13;inv(med);mt(med)
y(Total Production);8;13;inv(med);mt(med)
y(Total Production);9;14;inv(med);mt(med)
y(Total Production);10;15;inv(med);mt(med)
u(WIP);1;0;inv(med);mt(med)
u(WIP);2;0;inv(med);mt(med)
u(WIP);3;0;inv(med);mt(med)
u(WIP);4;0;inv(med);mt(med)
u(WIP);5;0;inv(med);mt(med)
u(WIP);6;0;inv(med);mt(med)
u(WIP);7;0;inv(med);mt(med)
u(WIP);8;-0.2;inv(med);mt(med)
u(WIP);9;-0.6;inv(med);mt(med)
u(WIP);10;0;inv(med);mt(med)
i(End Item);1;0;inv(med);mt(med)
i(End Item);2;0;inv(med);mt(med)
i(End Item);3;0;inv(med);mt(med)
i(End Item);4;0;inv(med);mt(med)
i(End Item);5;0;inv(med);mt(med)
i(End Item);6;0;inv(med);mt(med)
i(End Item);7;0;inv(med);mt(med)
i(End Item);8;0;inv(med);mt(med)
i(End Item);9;0;inv(med);mt(med)
i(End Item);10;0;inv(med);mt(med)
y(Total Production);1;9;inv(high);mt(med)
y(Total Production);2;11;inv(high);mt(med)
y(Total Production);3;12;inv(high);mt(med)
y(Total Production);4;10;inv(high);mt(med)
y(Total Production);5;12;inv(high);mt(med)
y(Total Production);6;13;inv(high);mt(med)
y(Total Production);7;13;inv(high);mt(med)
y(Total Production);8;13;inv(high);mt(med)
y(Total Production);9;14;inv(high);mt(med)
y(Total Production);10;15;inv(high);mt(med)
u(WIP);1;0;inv(high);mt(med)
u(WIP);2;0;inv(high);mt(med)
u(WIP);3;0;inv(high);mt(med)
u(WIP);4;0;inv(high);mt(med)
u(WIP);5;0;inv(high);mt(med)
u(WIP);6;0;inv(high);mt(med)
u(WIP);7;0;inv(high);mt(med)
u(WIP);8;-0.2;inv(high);mt(med)
u(WIP);9;-0.6;inv(high);mt(med)
u(WIP);10;0;inv(high);mt(med)
i(End Item);1;0;inv(high);mt(med)
i(End Item);2;0;inv(high);mt(med)
i(End Item);3;0;inv(high);mt(med)
i(End Item);4;0;inv(high);mt(med)
i(End Item);5;0;inv(high);mt(med)
i(End Item);6;0;inv(high);mt(med)
i(End Item);7;0;inv(high);mt(med)
